名称,状态,最优步数,类型
new8355,3387107427053440L,8,0
new5657,4223836832933760L,5,0
new8357,3387107427315584L,9,0
new6599,4223836833195904L,4,0
new8290,21693126381667712L,9,0
new8779,21692026870039680L,9,0
new10070,21693126398444672L,7,0
new8350,2261207520931712L,11,0
new8287,21693126381405568L,10,0
new12050,3387107427774336L,10,0
new3837,590526722420352L,-1,0
new7334,9034234297912960L,-1,0
new2948,1715884901273216L,-1,0
new7545,625703578324608L,-1,0
new10402,19149441990750080L,-1,0
new3803,9033676497956480L,-1,0
new7498,625737937800832L,-1,0
new7495,625737938062976L,-1,0
new4136,12430590012059520L,0,0
new14491,12403353217410624L,0,0
new7950,12430590012321664L,0,0
new11775,12430590012583808L,0,0
new3610,9034776023740032L,-1,0
new6833,589984996593280L,-1,0
new7270,9069987239644800L,-1,0
new9569,9070493483495296L,-1,0
new3667,589427196636800L,-1,0
new1078,9070493483954048L,-1,0
new7269,9069987239382656L,-1,0
new9193,2261439449231232L,11,0
new12956,3387339356073856L,10,0
new8367,3387339355287424L,7,0
new1599,3676822550898240L,5,0
new8370,3387339355549568L,8,0
new2318,19150309558087552L,-1,0
new5530,1716135083134592L,-1,0
new8535,18060124979736448L,-1,0
new3490,18024409651048320L,-1,0
new7505,625969866034816L,-1,0
new10141,19149175703039872L,-1,0
new11014,9034484479774336L,-1,0
new13766,899516325446976L,-1,0
new6277,19150309557825408L,-1,0
new7279,18024409651310464L,-1,0
new7221,9034484480036480L,-1,0
new2321,19150275198349184L,-1,0
new3493,18024375291309952L,-1,0
new10137,19149210062778240L,-1,0
new14042,18024409650524032L,-1,0
new6279,19150275198087040L,-1,0
new7283,18024375291572096L,-1,0
new8963,18024391397420928L,-1,0
new10139,19149210062516096L,-1,0
new10140,19150309557366656L,-1,0
new10699,1716135083462272L,-1,0
new1337,12684004625770048L,0,0
new2237,10160384401035136L,-1,0
new3173,590235178454656L,-1,0
new15320,9070219167878784L,-1,0
new14887,590235178716800L,-1,0
new4457,3387073076227968L,10,0
new4459,3388206930292608L,6,0
new12064,3387107435442048L,8,0
new692,2261173169385344L,11,0
new12067,3387107435704192L,9,0
new6602,4223836841584512L,5,0
new8354,3388206930751360L,9,0
new4461,3387073075703680L,9,0
new1466,3395622460483136L,8,0
new12056,3388206931013504L,9,0
new4463,3387073075965824L,10,0
new3756,1751637836975744L,-1,0
new7503,625737930133120L,-1,0
new6119,625703569936000L,-1,0
new14514,19149441982361472L,-1,0
new10404,19149441983082368L,-1,0
new5896,625737929412224L,-1,0
new7556,625703570394752L,-1,0
new5907,625737929674368L,-1,0
new9032,12402804535354944L,0,0
new7937,12430590020710272L,0,0
new6145,11558104718927488L,3,0
new11773,12430590020972416L,0,0
new3486,10195887138295424L,-1,0
new6861,9070493508660864L,-1,0
new15539,18023542078402432L,-1,0
new10306,2270271235696256L,7,0
new789,21692026903594560L,5,0
new14363,3396171142538880L,6,0
new10142,19149210054848384L,-1,0
new5877,625969857646208L,-1,0
new14044,19149175694651264L,-1,0
new7219,9034484488425088L,-1,0
new10138,19149175695110016L,-1,0
new14041,19149210054389632L,-1,0
new7497,625969858367104L,-1,0
new10701,1716135091850880L,-1,0
new14043,19149210054127488L,-1,0
new10264,11277453310568064L,2,0
new3491,18024409644756864L,-1,0
new13946,10160384392646272L,-1,0
new7282,18024409645019008L,-1,0
new15334,18023310150168448L,-1,0
new12062,10136203995931776L,-1,0
new14889,590235187105408L,-1,0
new2245,10160384393105024L,-1,0
new12184,10136203995669632L,-1,0
new15331,18023275790430080L,-1,0
new8351,3388206938681216L,7,0
new8470,21693126381667456L,8,0
new8630,21692026870039936L,10,0
new13941,21693126398444928L,6,0
new8466,21693126381405312L,9,0
new12063,3388206939402112L,9,0
new3746,1751637828587136L,-1,0
new6981,9069987224964736L,-1,0
new7328,9034234297913216L,-1,0
new2088,1751637828324992L,-1,0
new2964,1715884901273472L,-1,0
new1416,3387073053159296L,6,0
new5222,3387107412635520L,6,0
new11777,12430590029361024L,0,0
new12948,3387073052897152L,5,0
new6841,589984996593536L,-1,0
new3482,10195887129906816L,-1,0
new9334,9070493483495040L,-1,0
new1908,10195887129644672L,-1,0
new6857,9070493483953792L,-1,0
new4566,3676822550898496L,5,0
new5518,1716135083134848L,-1,0
new8546,18060124979736192L,-1,0
new11012,9034484479774592L,-1,0
new13772,899516325446720L,-1,0
new7216,9034484480036736L,-1,0
new2320,19150309574143872L,-1,0
new10696,1716135083462528L,-1,0
new12968,3387339341393792L,6,0
new4347,12684004625770304L,0,0
new520,11558104718927680L,1,0
new5238,3387339340869504L,5,0
new11103,18023310141517696L,-1,0
new2249,10160384401034880L,-1,0
new3169,590235178454912L,-1,0
new15330,18023310141779840L,-1,0
new697,10136204004320384L,-1,0
new11105,18023275781779328L,-1,0
new14883,590235178717056L,-1,0
new1161,18023291887890304L,-1,0
new15333,18023275782041472L,-1,0
new12052,3388206947069824L,7,0
new4469,3395622460483392L,8,0
new3749,1751637820198528L,-1,0
new2080,1751637819936384L,-1,0
new13714,1751637819674240L,-1,0
new1417,3387073061547904L,7,0
new11828,12402804535355200L,0,0
new3474,10195887121518208L,-1,0
new6982,9069987214478976L,-1,0
new1074,9070493508661120L,-1,0
new1913,10195887121256064L,-1,0
new7268,9069987214675584L,-1,0
new11370,18023542061363072L,-1,0
new13461,10195887120993920L,-1,0
new9509,9063071780463936L,-1,0
new10897,625737914994304L,-1,0
new15537,18023542061625216L,-1,0
new10748,9069987214216832L,-1,0
new2323,19150309566476160L,-1,0
new7214,9034484488425344L,-1,0
new2319,19150275206737792L,-1,0
new6278,19150309565755264L,-1,0
new10698,1716135091851136L,-1,0
new12972,3387339349782400L,7,0
new11104,18023310133129088L,-1,0
new13931,10160384392646528L,-1,0
new7284,18024409661796224L,-1,0
new15332,18023310133391232L,-1,0
new7322,9070235249020544L,-1,0
new14935,9070219142712960L,-1,0
new3492,19149210039709568L,-1,0
new14884,590235187105664L,-1,0
new2234,10160384393105280L,-1,0
new15313,9070219142909568L,-1,0
new7280,18023310132866944L,-1,0
new7281,18024375302057856L,-1,0
new991,21692026903594112L,8,0
new2240,21693126431999104L,6,0
new12093,2261207520931200L,19,0
