名称,状态,最优步数,类型
new3216,3949499018211216L,3,16
new10603,3951165491736476L,9,28
new7718,21974877351495000L,6,24
new2964,3395930826789790L,6,30
new427,3395930826527646L,6,30
new3217,3949499018735504L,6,16
new2590,12403094648361886L,0,30
new4613,12403094648099742L,0,30
new5067,12403086058165150L,0,30
new2165,12403086057378718L,0,30
new2463,12403094647313310L,0,30
new635,18656593394593680L,41,16
new9470,19425725090173340L,40,28
new702,20866635037160092L,7,28
new4916,22010128220316060L,-1,28
new11810,19214618824168348L,-1,28
new143,3396755467326366L,7,30
new2559,12402819763901342L,0,30
new705,19712125631000464L,24,16
new1964,19705571141800862L,57,30
new5099,12402811173966750L,0,30
new2216,19150275205984144L,34,16
new11807,19214618824430492L,-1,28
new4978,20847951677297308L,39,28
new10439,21993050163651996L,-1,28
new932,19712159990738832L,24,16
new1669,3387940651429788L,4,28
new11867,20866635036504732L,-1,28
new1849,21974951095767452L,41,28
new2948,3387940651495324L,5,28
new1892,19150309565722512L,33,16
new3884,22010128220053916L,-1,28
new10437,21993050163914140L,-1,28
new9395,20283862820374428L,-1,28
new6891,21411933849404568L,7,24
new2568,18656559034920848L,47,16
new8130,21482267160102040L,-1,24
new2604,19712082681655184L,28,16
new1350,3379127378536336L,3,16
new8335,21412202292495448L,7,24
new2579,19712091271327632L,30,16
new11436,21693677269206104L,7,24
new8742,18088718919685020L,-1,28
new741,18370193896395676L,-1,28
new8743,18088718919422876L,-1,28
new744,18370193896133532L,-1,28
new10041,21410312483030844L,3,28
new5793,22001236365356440L,24,24
new8957,18651668883592092L,67,28
new4713,3959430500897694L,3,30
new5014,2835649674752664L,-1,24
new5324,18018351259734940L,38,28
new6724,3996279466648220L,-1,28
new11653,19707201119998876L,40,28
new2514,19144251166577564L,39,28
new6154,19425726143288220L,40,28
new1566,3950634408397726L,-1,30
new4685,21410010450989470L,3,30
new3764,3669159448464030L,-1,30
new5658,21410019041186206L,3,30
new1020,3978660789618588L,-1,28
new10157,2835649675473560L,12,24
new3272,21410010451251614L,4,30
new4233,3996279466386076L,-1,28
new2278,21410019040924062L,2,30
new10614,20270047994205080L,-1,24
new4048,12966628681880478L,0,30
new2324,12966628681683870L,0,30
new3795,12966628682470302L,0,30
new13,12985850917562268L,0,28
new2894,9097482714517918L,78,30
new5007,2835649675801240L,-1,24
