名称,状态,最优步数,类型
new64728,21432291675365720L,-1,24
new97833,18414629443693432L,90,24
new432,2272162111087768L,-1,24
new27597,3435718085198168L,70,24
new8278,3387657183588248L,7,24
new11617,9407447360433048L,73,24
new63681,21432257315365208L,-1,24
new72172,1254020468183448L,-1,24
new4735,3397821499761752L,9,24
new64712,18027955675761560L,59,24
new66584,20376441578088344L,-1,24
new6488,2291993829196568L,65,24
new7769,9407447360170904L,72,24
new38588,10147145969601144L,38,24
new64711,18027964265696152L,58,24
new63673,21432291675103576L,-1,24
new76897,18098264289102744L,82,24
new74233,18104682857670008L,-1,24
new39021,1146090406077560L,-1,24
new29952,11272770991983512L,38,24
new14274,2292225757430648L,64,24
new65099,21432291675365752L,-1,24
new73047,20315152427788664L,32,24
new107149,12404735131542680L,0,24
new30134,12405003575157848L,0,24
new39412,12405243019043992L,0,24
new24951,84415552735864L,73,24
new43944,400797869894552L,77,24
new63703,21432257315365240L,-1,24
new43268,9134804411617688L,-1,24
new107533,12475068442240152L,0,24
new38631,12405003574633560L,0,24
new41065,12431655139307416L,0,24
new63696,21432291675103608L,-1,24
new1638,3397546606650712L,8,24
new13046,3395347583395672L,3,24
new84811,21412717664716120L,5,24
new99763,21676897831293336L,6,24
new2922,3398061994075480L,6,24
new84132,18104682849281432L,-1,24
new97538,20550997924450712L,7,24
new7252,2269997423716184L,5,24
new81526,1146090397688984L,-1,24
new10651,21676897831817624L,6,24
new3423,3395897330558808L,4,24
new10645,21676897832079768L,7,24
new98340,20279953066855320L,-1,24
new96021,21412717680444504L,3,24
new26599,9090790182406776L,62,24
new29514,21411933849404568L,7,24
new74794,21502884260874072L,98,24
new89587,21412717680182360L,2,24
new43940,400797861505912L,77,24
new79519,18141986485965208L,86,24
new3040,10533347273042808L,85,24
new30575,21482267160102040L,-1,24
new40579,400797861243768L,76,24
new67082,18025490901413272L,68,24
new67228,21412202292495448L,7,24
new74627,21502884261136216L,97,24
new34769,12405244068947288L,0,24
new41585,11276629751424856L,1,24
new35000,12404728681522520L,0,24
new45180,12402529658267480L,0,24
new34448,12403079405430616L,0,24
new30089,11273045869628312L,36,24
new15491,1526697766251384L,97,24
new97832,18414629435304856L,89,24
new11616,9407447368821624L,75,24
new715,3470077798655864L,-1,24
new6486,2291993829196664L,65,24
new464,3470077798918008L,-1,24
new10596,21676897833128344L,8,24
new15410,9407448456702552L,79,24
new95624,18414629435042712L,88,24
new97900,21719778568514968L,5,24
new4477,3395622452913240L,3,24
new65517,2835649674752664L,-1,24
new263,2269997423715480L,-1,24
new29654,2554191861855128L,8,24
new42880,3670197319856024L,10,24
new44608,3669097774673560L,9,24
new33987,12475612836964152L,0,24
new34277,12405243019044664L,0,24
new44603,3669097774935704L,8,24
new11074,3380511430977432L,4,24
new32739,3467877769045656L,-1,24
new5447,3751009722389400L,-1,24
new44447,3669132134674072L,7,24
new72581,2543197901909144L,-1,24
new84077,18104674259347064L,-1,24
new38517,12402804527785048L,0,24
new2623,3468430762092344L,8,24
new107428,9117170643293080L,70,24
new10231,12712580409814936L,0,24
new11080,3380477079627576L,5,24
new37663,11299158153781912L,37,24
new65514,2835649675801240L,-1,24
new106986,21396540887950712L,-1,24
new39253,12431655130393752L,0,24
new99944,20596077698820472L,38,24
new107342,9117205003031448L,71,24
new10960,3380511439365944L,5,24
new107604,21466874198648184L,73,24
new29622,3468152638563960L,-1,24
new72947,21412202284107576L,6,24
new39498,12431655130918040L,0,24
new74182,18104674267735704L,-1,24
new19360,3670996177219480L,5,24
new11329,3669896613687192L,5,24
new32003,1236695920464792L,96,24
new10830,3380751949146008L,2,24
new27298,110796013622168L,97,24
new34752,12475887698093624L,0,24
new75489,21438853311376536L,3,24
new3677,3669896614211480L,6,24
new12468,20393759163049112L,-1,24
new10509,21719778541251736L,9,24
new89290,21502884269524056L,96,24
new3457,3468705623221816L,8,24
new42124,84140683479416L,77,24
new89399,21411933849405240L,2,24
new36529,12713379266129816L,0,24
new73218,21411927406462776L,5,24
new88342,21482267160102712L,2,24
new46631,3670197312515992L,7,24
new21510,3751009731826584L,-1,24
new91361,110521144365976L,104,24
new11073,3380477079627672L,6,24
new86978,1236421051208600L,105,24
new8243,3388756695216024L,6,24
new14301,3387657150033560L,9,24
new63831,21432257315365464L,-1,24
new98243,20393759163049048L,103,24
new10956,3380511439366040L,5,24
new38746,10147145969600888L,38,24
new3678,3669132109508504L,6,24
new5452,3751009730778008L,-1,24
new74187,18104674267735672L,-1,24
new31780,2309818178355832L,57,24
new14272,12712580401426328L,0,24
new27101,3435718085198456L,58,24
new36792,3669097751867288L,6,24
new41297,84415552735608L,73,24
new11081,3380511430977336L,4,24
new31001,10524551960155032L,67,24
new73894,21412202292496184L,5,24
new92353,12431655139306648L,0,24
new84073,18104674259347096L,-1,24
new97339,20550997924450968L,8,24
new81854,21410553001198680L,3,24
new7442,3395897330558040L,-1,24
new9986,9090790182406520L,61,24
new74900,21502884260873304L,94,24
new52349,12475887689705016L,0,24
new5282,3750726254547864L,-1,24
new33673,3468152638563992L,-1,24
new5289,3750734844482456L,-1,24
new74919,21502884261135448L,95,24
new104277,21719778549640600L,8,24
new38860,12403079405429848L,0,24
new23140,3468705614833208L,7,24
new36698,3669896624697240L,8,24
new74144,21411927414851384L,4,24
new30965,3467877769045624L,-1,24
new36377,3670197304127384L,8,24
new65335,2835649674752920L,-1,24
new6862,2269997423715736L,-1,24
new29724,2554191861854872L,9,24
new6445,1145806938236568L,-1,24
new32143,1517902444975000L,102,24
new42903,3669097774673816L,10,24
new30223,1236421026042776L,103,24
new34724,12475612820186936L,0,24
new67835,18124679118115736L,80,24
new11622,9407447335267224L,75,24
new25224,9398652047545240L,77,24
new42908,3669097774935960L,9,24
new18448,1236427467936664L,93,24
new42812,3669132134674328L,8,24
new72578,2543197901909400L,-1,24
new39376,11276629751424408L,3,24
new2878,3468430745315128L,-1,24
new2506,12712580393037720L,0,24
new37896,11299158153782168L,38,24
new60370,10243076975514520L,67,24
new65308,2835649675801496L,-1,24
new106995,21396540887950456L,-1,24
new34057,12431655163948952L,0,24
new58150,392002540229528L,85,24
new17358,10524551951766424L,67,24
new54073,392002539967384L,84,24
new107611,21466874198647928L,74,24
new40980,12431655164473240L,0,24
new65435,3750726280762264L,7,24
new11451,3669896613686936L,4,24
new31859,2292225992315800L,61,24
new32012,1236695903687576L,95,24
new80340,18124404240470936L,79,24
new10994,3380477079627352L,3,24
new73052,20315152427789208L,44,24
new44015,400797836340088L,79,24
new69296,21438853311376792L,4,24
new3653,3670996159393688L,6,24
new4416,3669896614211224L,7,24
new75012,20376441578087768L,98,24
new75788,20393759163049368L,-1,24
new80163,18124369880732568L,80,24
new18010,2292225992577944L,62,24
new65737,3750726279713688L,6,24
new71167,21502341484930392L,97,24
new72842,21719778541251992L,8,24
new20727,1145806929847928L,-1,24
new31587,3397535876802168L,-1,24
new97836,18414629410139032L,91,24
new104435,18405834122417048L,78,24
new36526,12713379249352600L,0,24
new30919,3467869187499640L,-1,24
new49889,9117995251061656L,87,24
new77028,18098264289102200L,79,24
new20861,1145806929847960L,-1,24
new10823,3380751949145688L,4,24
new32147,1517902453363608L,102,24
new32237,3397535876802200L,-1,24
new97839,18414629410139000L,91,24
new30226,1236421034431384L,104,24
new52309,12475612811798328L,0,24
new77977,18124679109727128L,81,24
new8270,3387657150033816L,8,24
new25220,9398652039156632L,78,24
new20473,9398652038894488L,78,24
new32692,3467869187499672L,-1,24
new64694,18028239143602520L,46,24
new77853,18124644749988760L,82,24
new3785,3669132109508248L,5,24
new47675,9091614790175096L,57,24
new22614,3468430736926520L,-1,24
new72894,20315152461343096L,33,24
new36707,3669097751867032L,5,24
new44020,400797836340120L,78,24
new58158,392002548618136L,86,24
new99435,20596077690431864L,38,24
new58444,9117204977865624L,-1,24
new64696,18028239143602552L,45,24
new80430,18097989419846008L,77,24
new40981,12431655172861848L,0,24
new1674,3395347583395160L,3,24
new97335,20550997924451224L,8,24
new19355,3670996168830872L,4,24
new77658,21410553001198936L,4,24
new3082,3395897330558296L,-1,24
new21337,3750734862308248L,7,24
new32016,1236695912076184L,96,24
new80335,18124404232082328L,78,24
new37898,11299158153782136L,38,24
new33903,12475887706482232L,0,24
new34508,12405517888562744L,0,24
new73682,18025509155041176L,59,24
new67062,18025490901413784L,61,24
new18015,2292226000966552L,63,24
new5270,3750734861259672L,6,24
new11563,21719778549640344L,9,24
new73904,18025474795302808L,60,24
new35021,12402529658266968L,0,24
new34751,12403079405430104L,0,24
new6057,1145806938236536L,-1,24
new2400,3468705631610424L,7,24
new10827,3380751949145656L,4,24
new104433,18405834114028440L,79,24
new11620,9407447335267192L,76,24
