名称,状态,最优步数,类型
new1652,3669681899663248L,7,16
new58509,98479154704016L,49,16
new62323,1152934964924304L,-1,16
new24893,3466540959704656L,12,16
new21390,3669681898614672L,7,16
new27151,3951156875521936L,4,16
new41629,12949284622452592L,0,16
new5540,3942077314656080L,2,16
new11849,2393390499505744L,36,16
new13014,3448681152178064L,6,16
new18516,2401945008533392L,-1,16
new33291,3466506599966288L,11,16
new18110,2393149989988240L,35,16
new36369,2964860551883920L,70,16
new11660,3448680078911376L,6,16
new18046,20988305068000400L,31,16
new41818,9104578880515728L,53,16
new10417,19281116016682864L,-1,16
new57976,12473723034576464L,0,16
new5541,3942077314656112L,3,16
new25375,21552388901700912L,35,16
new25370,21552388901438768L,36,16
new64248,12473688674838096L,0,16
new47276,12386334686332496L,0,16
new50627,12456120379819600L,0,16
new15624,19713225151016848L,22,16
new11535,1153185146785680L,14,16
new15761,19713259510755216L,22,16
new1106,2411008715138704L,-1,16
new39344,10863237529079408L,36,16
new17963,3448371923183504L,3,16
new21778,2393115621860944L,40,16
new39376,449187924487792L,55,16
new26193,3448645710784080L,2,16
new44,2411008715662992L,33,16
new4956,2920595805590416L,-1,16
new10860,2410974355400336L,-1,16
new17302,2973924275266704L,-1,16
new18030,4029437217875600L,4,16
new4954,2920595805328272L,-1,16
new19006,2402176936767376L,-1,16
new39147,10863237528817264L,37,16
new12439,21393533941073488L,1,16
new25770,3448646784050768L,4,16
new61024,10699153940210832L,33,16
new61217,10160384401002384L,20,16
new59173,1856588038540912L,-1,16
new38620,11418190790010512L,62,16
new11851,2393390499505712L,35,16
new38006,11418190790534800L,40,16
new47428,11418156430272144L,61,16
new49731,11981106350138512L,39,16
new55231,12456120388208528L,0,16
new30411,18156607661942672L,64,16
new57776,98479163092624L,50,16
new58271,168314249424528L,60,16
new64176,724375612179792L,59,16
new464,3466540951316048L,11,16
new19298,3395622476506960L,7,16
new13544,2401945016922000L,-1,16
new18033,3448681160566672L,6,16
new10093,3466506591577680L,10,16
new10901,2964860577050000L,-1,16
new11057,4099824182109264L,28,16
new13548,2401910657183632L,-1,16
new18045,3448646800828304L,7,16
new41214,9455888918457488L,57,16
new62011,9105678417309328L,-1,16
new2580,21552388892788016L,36,16
new57019,9455888919506064L,58,16
new37671,12473723026187856L,0,16
new58310,12402804551378768L,0,16
new2607,21552388893312304L,35,16
new40784,9455854558719120L,57,16
new18035,4029437217875568L,4,16
new18107,2393149989988144L,40,16
new2593,21552388893050160L,36,16
new46276,12473688666449488L,0,16
new44346,9385493900938896L,88,16
new31183,18165128877059984L,57,16
new28325,19713225142628240L,23,16
new10414,19281116016682896L,-1,16
new28428,19713259502366608L,23,16
new26376,10863237537468016L,35,16
new16294,2920596871320464L,11,16
new30228,3448371914794896L,4,16
new17263,3395347598862160L,5,16
new5536,3942077314656144L,3,16
new40,2411008724051600L,34,16
new4060,18375100701462160L,53,16
new45565,10699153948599440L,34,16
new1717,1856588030152304L,-1,16
new57907,12402529673733968L,0,16
new41647,12949284622452624L,0,16
new54977,11276629766891344L,1,16
new8363,2920595799298960L,-1,16
new2251,1856588029890160L,-1,16
new8358,2920595799036816L,-1,16
new38003,11418190798923408L,39,16
new11658,3448680078911344L,6,16
new34000,18094460558684048L,58,16
new16944,3738915699519376L,9,16
new24122,159794108065616L,-1,16
new64756,97379643076240L,48,16
new2142,3738915698732944L,7,16
new62315,1152934964924048L,-1,16
new24189,3466540976481872L,5,16
new26542,3448911998494544L,2,16
new30026,3448371914794576L,4,16
new27764,2401944991756176L,24,16
new34267,3738915698470800L,9,16
new33284,3466506599966544L,10,16
new21911,3738915697684368L,6,16
new4766,449187896700048L,66,16
new15394,3379127378536272L,2,16
new36212,2964860551884176L,71,16
new17634,20988305068000656L,32,16
new27768,2401910632017808L,23,16
new35325,3388206939402128L,4,16
new46995,12386334686332784L,0,16
new50372,9105678392143504L,54,16
new26544,3448911998494576L,3,16
new21998,2393115621861168L,38,16
new41649,12949284622452304L,0,16
new56711,11276629766891152L,3,16
new57735,12403353233434192L,0,16
new57881,12473723051353680L,0,16
new24682,20987789705479984L,-1,16
new64069,3738915700567952L,8,16
new33798,21551289390073136L,36,16
new21986,2393149981599536L,39,16
new15396,3379127378536304L,3,16
new64253,12473688674838352L,0,16
new21814,2393149981337392L,40,16
new24416,20987789706004272L,38,16
new30400,18156607661942352L,60,16
new5787,19150275214372752L,33,16
new22979,159519230158672L,-1,16
new24215,19281116008294288L,-1,16
new11530,1153185146785424L,14,16
new5637,19150309574111120L,32,16
new24155,19281116008032144L,-1,16
new6203,21956483877193296L,1,16
new34769,4099033908127056L,30,16
new54792,10863212833034096L,73,16
new10325,2973924275266960L,-1,16
new63874,10863212832771952L,73,16
new28051,2402176919990160L,23,16
new14766,3448646800827984L,9,16
new33890,4099033908651344L,-1,16
new61225,10160384401002128L,19,16
new45254,10136204003566736L,37,16
new62808,20688986619351952L,60,16
new1640,1856563342495600L,45,16
new26317,3448645710784368L,6,16
new26145,3448680070260592L,4,16
new49189,20688986618303376L,59,16
new26313,3448680070522736L,5,16
new47603,11981106350138768L,38,16
new52645,20688986618041232L,58,16
new4738,448689680493712L,67,16
new20317,19712391918972816L,25,16
new64181,724375612179536L,58,16
new4740,448689681542288L,68,16
new12253,3395622476506704L,8,16
new14719,3448371923183184L,5,16
new22001,2393115621861264L,33,16
new64887,3669681923780496L,5,16
new25893,3448681143789456L,5,16
new26320,3448645710784400L,6,16
new9846,2920595784618896L,10,16
new10088,3466506591577936L,9,16
new10862,2410974355400528L,-1,16
new21991,2393149981599632L,34,16
new26147,3448680070260624L,4,16
new15929,2964860577049744L,-1,16
new15451,4099824182109520L,28,16
new21816,2393149981337488L,35,16
new25902,3448646784051088L,6,16
new26314,3448680070522768L,5,16
new48151,9175513487388304L,64,16
new24220,19281116008294256L,-1,16
new24159,19281116008032112L,-1,16
new12378,21551289381160240L,37,16
new56252,12402804551378512L,0,16
new12401,21551289381684528L,36,16
new12899,21551255021421872L,37,16
new26382,21552388910089520L,34,16
new17898,20425355114579248L,36,16
new46281,12473688666449744L,0,16
new47435,11418156430272336L,-1,16
new11,20987789714392880L,39,16
new17646,20988305068000560L,35,16
new44341,9385493900939152L,89,16
new55232,12456120388208208L,0,16
new24282,18656593394593680L,41,16
new28327,19712125631000464L,24,16
new1002,19150275205984144L,34,16
new28432,19712159990738832L,24,16
new843,19150309565722512L,33,16
new24129,3396171158562448L,-1,16
new26545,3448911998494608L,3,16
new16655,2920596871320208L,12,16
new14213,3395347598861904L,5,16
new19981,2270271251719824L,-1,16
new11846,2393390499506064L,31,16
new54796,10863212841422704L,74,16
new4049,18375100701462416L,54,16
