名称,状态,最优步数,类型
new860291874,11964087861135120,62,16
new-1288490418,9678771108065872,81,16
new-1287371105,4102054587785520,35,16
new-159175466,19451838804928592,20,16
new873556690,12446603195460496,1,16
new1443533318,20276208881685264,34,16
new907035148,2317315802792784,33,16
new-1223668772,4006147979764048,10,16
new1996514042,3969074340692592,8,16
new872528378,1153193917123728,36,16
new-217535688,3949473277996624,4,16
new884033818,416169198711376,74,16
new-180147647,9713114025381008,60,16
new-1492937922,19714904915063664,33,16
new-1266604203,3660078336761936,5,16
将守角楼,9359871739023184,70,16
new1929759584,12948459999260560,1,16
new-1228697032,18445436421557360,62,16
new825363166,2938195738716304,8,16
new1459750790,20839090174329744,35,16
new-164491042,18149682039646224,69,16
new1899114702,688030218872976,68,16
new-201317376,18035370643821136,25,16
new881387970,1434668446151248,15,16
new-1321135865,9713922769490800,66,16
new1461064198,20874266225157008,14,16
new924011018,12991927121881232,1,16
new884027858,405517678039120,75,16
new1964196622,12992998522646800,1,16
new1879175248,12411374530990992,1,16
new-1321776570,9679061337862736,65,16
new874621016,12459477057696336,1,16
new-1257880115,566878591669040,21,16
new-1253751739,716404656792368,59,16
new-218084488,3968192504983568,4,16
new1992699488,18446510715645552,65,16
new907035358,12424225692584272,1,16
new925118037,4028948892394096,6,16
new-232476096,9105059661885008,75,16
new-1337405169,152376945732240,50,16
new-1232694674,19432772649766192,26,16
new-159183090,10417701540080784,20,16
new880887586,12695066242220592,1,16
new1988175126,12677201348544272,1,16
new883043458,380520978591248,60,16
new1996572631,11849534804083760,2,16
new-200138226,18078834931091728,27,16
new1957710478,18403962785516432,68,16
new1982079738,3478632534753936,7,16
new-214676862,9703202038112848,75,16
new-226188304,2552826145122192,5,16
new917785216,18410251800431440,76,16
new809756984,20424828655890800,60,16
new-1270632488,18183766857625488,58,16
new816450104,3747968913863312,4,16
new-157052843,18378392528495760,69,16
new1996489469,1719414041881872,30,16
new1946536453,12388260384613712,1,16
new-247111064,10863243998798448,77,16
new1711780673,18035402026118544,29,16
new-1258018960,3969247274115632,7,16
new1981106582,12439638182798096,1,16
new1992633822,452029750979152,60,16
new880866172,12677122145947216,1,16
new1990280838,3751294078640432,10,16
new1652622913,12676307735308144,1,16
new-196891880,18157138093634128,59,16
new922945320,11822226980628016,1,16
new873554714,11323323464033168,2,16
new-214676730,9687801038205264,75,16
new-265787152,89888962495376,70,16
new-525991392,21747292422563088,12,16
new-184521040,3951157975248912,6,16
new-1223546812,610876503974032,43,16
new874533282,3477225665601552,11,16
new1981932566,12464677761114256,1,16
new-149786082,2850616246430288,10,16
new-159240746,19423272173142352,21,16
new-1333524602,20548887446701968,12,16
new-213684471,10864276939754640,71,16
new-1288484082,9675798242792208,70,16
new884159046,18402328659456080,74,16
new1990468262,3759883938218768,4,16
new-167598138,18025483653752400,23,16
new1979839422,12412473573118256,1,16
new907035028,12423992701094416,1,16
new1991322010,417325983795856,69,16
new885067530,9456145546478160,68,16
new924935958,13048033621115920,1,16
new1989231046,3724725572428048,8,16
new885074666,449247266810224,63,16
new880898212,12695547258480656,1,16
new1988175682,12696173562036784,1,16
new890260230,12983935369834832,1,16
new-1237111074,18164860410260112,63,16
new826631567,11965436123164976,58,16
new884091718,18410353744441680,68,16
new587287073,12966816679521616,1,16
new1988194518,12685127784081552,1,16
new-234835392,10160642108296336,37,16
new910164462,10300254574709008,76,16
new1925270600,441766738227824,54,16
new1996637197,593017730909776,21,16
new915688324,3724872239039312,8,16
new893391317,1858750290395760,65,16
new917582666,9423974413238864,61,16
new826364127,11981111966198800,59,16
new1933656364,731296920855056,52,16
new-232545670,21490241470849584,4,16
new1989166022,3724700656337488,10,16
new-1291268056,574823509906320,23,16
new1983924770,9176363003644560,65,16
new917836292,10547443375026448,58,16
new-1304026550,21543926415247632,30,16
new924863765,2911799755780112,6,16
new806511104,20305085494862160,14,16
new1899057160,687309418752656,64,16
new1982154252,12483683332735280,1,16
new824324128,659793224766096,75,16
new875561858,1260650861822480,27,16
new-266165904,21474862367295056,6,16
new872464818,2273601874175376,39,16
new825242136,4064620981539664,4,16
new1989485326,3721910836537872,15,16
new885065418,9458826139955344,67,16
new884433794,10521358581126032,50,16
new-425515194,18370193972340624,42,16
new-180002197,10865751947339024,69,16
new890512194,12991960441440592,1,16
new-247240181,20973588029423952,38,16
new-156883346,18396032513877616,46,16
new-163149468,19302854415624560,41,16
new915489476,3715279606325328,7,16
new893476997,11966880035512336,64,16
new874627770,12482233801934096,1,16
new1984008422,1294738955542640,49,16
new-249549978,9653440465446992,69,16
new1982933958,9114532486850576,71,16
new-149403578,619157511563792,24,16
new873556626,12438906849198992,1,16
new918818188,1574633334451728,52,16
new1984244750,143884412071696,60,16
new353522434,21991684380704784,6,16
new880882466,10426729788108944,17,16
new849358392,3757307748971120,4,16
new914942404,1437889940056656,15,16
new-1274760552,3379435769848720,11,16
new-1262279095,18437515185834288,56,16
new1921205591,21677482703104368,5,16
new-517846437,22037803657356080,2,16
new-1274629176,18043031534236048,27,16
new818038599,20690937046107152,33,16
new882984591,3758784400934192,8,16
new818024223,2674305170772816,60,16
new924011016,12986168643840336,1,16
new880820402,2552886253191472,37,16
new917836290,10520225779429904,63,16
new805491504,20269232192286864,10,16
new1963347149,591617296328304,26,16
new1900432655,730163042970224,62,16
new889221670,11830773146338384,4,16
new-167407210,1145273543322000,29,16
new353641034,21992717213524368,9,16
new1988325062,10445120319640336,33,16
new-1270732856,18166194025136432,52,16
new1991447054,10520989314605200,65,16
new-1337556338,20418757726720304,37,16
new873494670,3439885044686864,11,16
new-503078317,21410834346197104,8,16
new-1239100667,9077700699738896,41,16
new389763654,18695274359581328,59,16
new882311810,11602050807124880,22,16
new1991586002,405482345222480,75,16
new883960202,9398420051677584,73,16
new-1321147425,4101737524619344,25,16
new906108804,1147744685666128,27,16
new-1256906020,3976462005185296,11,16
new1979828926,11263243337115408,1,16
new818044982,20691761677478160,31,16
new1880510542,21446054575088464,14,16
new-1287583972,721925318008944,52,16
new355676736,18691811501501008,57,16
new925053730,9642556740743792,77,16
new876929674,10276954818101616,53,16
new1988260518,2561444411912976,10,16
new924935775,13029066878754864,1,16
new908087820,3478325188960272,5,16
new-1262352592,18465826484383760,57,16
new872638234,11288138027503920,3,16
new-1270312104,2402246094123792,25,16
new1460691470,20866541721625488,12,16
new915424196,3724106659332944,8,16
new806505024,20305243602514192,13,16
new910233309,9159614493885520,60,16
new1988424390,2555120077857168,11,16
new805489096,20269866792126512,11,16
new873556612,12448792796528720,1,16
new-148623988,9643665115131280,53,16
new884282114,10521356517384720,63,16
new1991442818,19537251208028560,69,16
new1460675336,22000208695814672,8,16
new858810816,1822272483381840,76,16
new588090214,12951156653091728,1,16
new-166722612,19205533693383056,22,16
new-259593594,20574176499017360,11,16
new1982865422,1251093686403088,30,16
new-230628568,9168839069405072,67,16
new893586949,10836884065496592,52,16
new-1238359082,18140081102136144,73,16
new909181196,132520758809424,58,16
new-159083763,10415256043415312,19,16
new-1272566144,18088978498736496,69,16
new924905612,13045550886817104,1,16
new919015177,19592235565198672,63,16
new-247436717,20970289777224240,28,16
new1879241582,21418832851928208,5,16
new915753740,12728875499471184,1,16
new1898005249,13028242177753360,1,16
new1914880620,21482029587111984,7,16
new918883844,10559563671814512,34,16
new-1258206504,3960716636606800,4,16
new916537532,12764060308472656,1,16
new-192829371,10443276970396432,26,16
new910445164,9150961333652080,55,16
new873480922,12449224461658192,1,16
new1982869774,10239532582650256,47,16
new882189122,12704917878305040,1,16
new-198826640,18114010621948272,60,16
new839499808,1129775440351088,19,16
new-163446732,19291586333256720,53,16
new1992491365,10558398646554896,55,16
new-183475968,1745830235098000,40,16
new915735180,11576589110497808,2,16
new-224202630,21752819439142032,9,16
new881935042,3721661132120656,7,16
new-1275055160,18015870153265808,26,16
new873492494,2306595661021584,13,16
new906024142,3408232149485072,9,16
new925115171,13020248398161424,1,16
new907049356,3434628984145936,8,16
new1991389206,417302013817488,57,16
new1989165262,3715011260197648,11,16
new825625310,2938170774467152,8,16
new1912851668,21402055633898896,6,16
new-247967162,9688622780017552,66,16
new1882212820,21498485144895888,7,16
new914420604,12667809381795952,1,16
new-1299033278,21720612876124944,15,16
new1946756611,12386311835542320,1,16
new-517836453,22028177811596304,6,16
new-164491242,18140886206841424,69,16
new-184218232,10725289332976912,38,16
new884019978,10521356500730512,65,16
new881871426,12702455733488208,1,16
new1728333856,1710336637170512,24,16
new355611470,18694001136128016,50,16
new-163435428,19283073438859376,54,16
new-159382207,19451462728067696,35,16
new-1505007042,18156531143831376,55,16
new806568462,21440219155008080,7,16
new908412564,12474813050579472,2,16
new893390029,9739486635329680,52,16
new1988257046,2561347612467344,8,16
new884165258,9394324809585296,81,16
new352326286,19714320817336464,39,16
new874549516,9106176511381904,65,16
new-166579452,19178347368033040,40,16
new389155718,19812143360967568,47,16
new-225295608,21721712375177744,12,16
new-1341721850,20267645468570128,10,16
new924865943,2912177711482160,22,16
new1980850462,11298437089747216,3,16
new918621468,9456447502945616,58,16
new1991578254,10549909657366800,65,16
new1992691458,19563724067324272,58,16
new907109148,11320669979550544,2,16
new1988195114,11570290815971984,10,16
new1980855262,12423170892128592,1,16
new893719053,10840111797521808,22,16
new1989495310,12729049193916688,1,16
new1921249380,21701457245167760,4,16
new1996778598,1693088509880144,36,16
new872524117,12394891779820304,1,16
new873494924,3434353310892304,9,16
new1462968966,18686509723185808,44,16
new806507328,20313572358623248,12,16
new1980776846,2307730513854608,8,16
new1983910414,1294773210063632,34,16
new-149921530,1754377472524880,22,16
new-248512000,10828093986447440,56,16
new924922316,644446446825552,64,16
new-1321188489,4083330955706640,39,16
new-1333333202,20551017755365776,12,16
new-419429578,19713522598571280,27,16
new-248982674,9640921767211664,75,16
new1958871928,2703183994971280,51,16
new816007016,12754429381079920,1,16
new-165534100,19241018722648592,73,16
new390548320,18730456642579056,55,16
new1991322438,9424774348735248,32,16
new885105130,1577344460263792,76,16
横刀立马,9359138341900176,81,16
new-1258000288,1717834557051696,23,16
new1996499990,10717894396873808,22,16
new1992614502,10582931499926128,27,16
new873546714,12438503195739024,1,16
new1988560774,11568000344318352,11,16
四面楚歌,10520955990838160,56,16
new-536407549,20278344617175856,12,16
