名称,状态,最优步数,类型
new31743,20866635036504732L,-1,28
new61561,20303702783169436L,6,28
new86965,20283862820374428L,-1,28
new2940,3415797758445436L,42,28
new58632,11277831283713884L,-1,28
new60546,1145849887908988L,-1,28
new15833,3415797758969724L,41,28
new22498,3395381943134044L,4,28
new67408,18104974915446140L,-1,28
new16634,3415797758707580L,42,28
new33515,11260537858705308L,46,28
new99765,20551659357802908L,41,28
new20747,2269550755768156L,34,28
new38008,12386369046071196L,0,28
new4338,3434481101062236L,45,28
new29311,19267429759213724L,-1,28
new32434,2270649208842076L,41,28
new104893,19267154881306716L,56,28
new3641,2308306316312732L,-1,28
new31684,3397098829555036L,34,28
new87497,21410312483030844L,3,28
new89666,19214103420359580L,61,28
new99767,20551659356754332L,40,28
new51967,9099173128045692L,126,28
new51186,12402564018005852L,0,28
new78047,20340003327202204L,62,28
new105144,19425759449911708L,39,28
new33697,11260812736612220L,46,28
new14830,3415755060958108L,7,28
new26009,10700001326019484L,-1,28
new27243,18651668883592092L,67,28
new55935,11277007699895388L,-1,28
new26171,3396480362653340L,11,28
new31402,19707201119998876L,40,28
new66903,18104940555708060L,-1,28
new55591,11277007700157532L,-1,28
new85524,74339224138396L,59,28
new30903,3395656812389468L,4,28
new29056,2270031783453852L,-1,28
new58709,11277831250159260L,37,28
new28429,2270031783715996L,-1,28
new30610,3395656812651612L,5,28
new489,11260537858704476L,-1,28
new55565,12404212218504348L,0,28
new5070,12386369046070364L,0,28
new32481,2270649175287452L,40,28
new82364,19267154881307548L,-1,28
new8698,2308031438406428L,38,28
new60663,12402838887261276L,0,28
new23515,1252507532153756L,61,28
new60466,12402838887523420L,0,28
new42225,11299295601386044L,62,28
new65395,21393362108827228L,28,28
new81140,21465912108933980L,58,28
new85299,19707201115542428L,-1,28
new89419,19707201115804572L,-1,28
new93156,21393568300811356L,1,28
new99918,20586844209353116L,44,28
new55134,11278106161620124L,47,28
new90536,21410037605123164L,5,28
new81144,21465912108933948L,59,28
new46585,3395931698947164L,5,28
new78967,18104974907057788L,-1,28
new58091,12403937348986012L,0,28
new104729,18651668881494940L,-1,28
new106551,18651668881232796L,-1,28
new27846,2270924086748316L,48,28
new80700,19266880003400604L,-1,28
new26767,73833290196572L,50,28
new6410,2308306316313372L,39,28
new61701,20305386410348956L,-1,28
new14360,12403113773818972L,0,28
new65890,2308313572709276L,41,28
new26258,3396480354264732L,10,28
new77643,18104940547319452L,-1,28
new5430,3387691509771932L,4,28
new17472,11277007708546140L,-1,28
new58776,11277831241770652L,36,28
new84353,21410312483030108L,4,28
new8459,2292096874857020L,34,28
new42110,9380096939742108L,87,28
new70076,2270031792104604L,-1,28
new27534,1236564638450236L,54,28
new49141,9081032527636380L,73,28
new41495,3395656821040220L,5,28
new33511,11260262947243676L,43,28
new24593,10418526372311708L,63,28
new55560,12404212226892956L,0,28
new88497,20284481295664220L,34,28
new105120,10700001332310940L,-1,28
new63016,20551410224534428L,-1,28
new7818,3434481101062940L,40,28
new32519,2270649166898844L,41,28
new77615,20551410223485852L,-1,28
new2705,2308581194220316L,39,28
new8708,2308031438406556L,-1,28
new23518,1252507523765148L,61,28
new38497,11299295592735292L,62,28
new11699,12402838895912028L,0,28
new79975,21465903527387996L,42,28
new27723,1252507523503004L,61,28
new42223,11299295592997436L,62,28
new103917,20376845321790812L,61,28
new1363,2261860322406044L,31,28
new26882,21711060503957916L,14,28
new28872,19707201123931036L,-1,28
new86033,18651668887786396L,-1,28
new105458,19425725090173596L,41,28
new25208,18651668887524252L,-1,28
new26883,21711060504220060L,13,28
new89418,19707201124193180L,-1,28
new27967,3395931690296412L,5,28
new38712,10435902980297628L,56,28
new55144,11278106153231516L,46,28
new79979,21465903527387964L,41,28
new44467,9081032552801884L,81,28
new27376,3395931690558556L,5,28
new67401,18104974915446396L,-1,28
new385,11260812736611420L,-1,28
new58103,12403937340597404L,0,28
new26868,21711060506317212L,7,28
new22601,20586844215644572L,-1,28
new27858,2270924078359708L,49,28
new10956,1147505052763740L,50,28
new13516,73833298585180L,50,28
new68740,18387279014613916L,70,28
new6415,2308306316313500L,-1,28
new55216,12403113765168220L,0,28
new99900,20586844215382428L,-1,28
new3646,2308313564058524L,41,28
new54918,12403113765430364L,0,28
new3838,2308313564320668L,41,28
new14815,3415755044180892L,6,28
new26013,10700001326019228L,-1,28
new16748,3415755043918748L,6,28
new26107,3396480362653596L,10,28
new3075,3415755043656604L,5,28
new81307,18025533851086716L,45,28
new38227,12386369012516732L,0,28
new85739,74339224138652L,58,28
new17448,1146107577558652L,-1,28
new27197,2270031783454108L,-1,28
new58647,11277831250159516L,36,28
new18411,3469647228199484L,48,28
new24195,2270031783716252L,-1,28
new46759,9081032552802204L,77,28
new102041,21412028305130620L,34,28
new90812,11260812736611740L,38,28
new99991,20551384479896476L,-1,28
new101654,21393293422904700L,4,28
new32442,2270649175287708L,39,28
new16794,73833298585500L,60,28
new99985,20551384478847900L,-1,28
new105428,19425484572005276L,-1,28
new79534,20376853903336796L,44,28
new33641,11260537825150844L,45,28
new25189,21711060495569308L,14,28
new65190,21430118086087068L,2,28
new25191,21711060495831452L,13,28
new29950,1146073226208924L,-1,28
new74053,19144251179553692L,17,28
new12376,1129354789414780L,26,28
new41803,10136536864286556L,51,28
new60459,11278106128066460L,35,28
new49322,9081032527636060L,40,28
new32108,3395931698947420L,5,28
new55585,12403937315432348L,0,28
new57765,12404212226893148L,0,28
new101608,21393568300811644L,3,28
new12375,1129354789414748L,26,28
new23459,20586844224033180L,-1,28
new30605,2270924053194652L,40,28
new80908,19266880003400348L,-1,28
new41802,10136536864286588L,52,28
new61342,20304286898721180L,-1,28
new99853,20586844223771036L,-1,28
new18423,3469647228199516L,48,28
new58274,12403113773819228L,0,28
new42159,11299295601386364L,55,28
new33696,11260262947243900L,44,28
new14801,3415755052569500L,7,28
new16744,3415755052307356L,7,28
new26266,3396480354264988L,9,28
new2828,3387691509772188L,3,28
new5076,21393568300811676L,3,28
new31835,1146107585947260L,-1,28
new41804,10136536864286620L,52,28
new58782,11277831241770908L,35,28
new87942,21410312483030364L,5,28
new24198,2270031792104860L,-1,28
new19181,3469655809745468L,49,28
new33699,11260262947243932L,44,28
new24520,10418526372311964L,62,28
new83739,20284481295664476L,33,28
new105125,10700001332310684L,-1,28
new100505,20551410241311644L,-1,28
new99912,20551384471507868L,-1,28
new12378,1129354789414812L,25,28
new32523,2270649166899100L,40,28
new26473,73833290196892L,60,28
new8725,2308031438406300L,-1,28
new80597,20376853894423900L,-1,28
new8452,2292096874857244L,36,28
new79441,20376845305013596L,46,28
new79531,20376853894948188L,45,28
new8385,2261860322406300L,32,28
new79313,20376845304751452L,47,28
new105289,19425725090173852L,41,28
new16108,1146073217820316L,-1,28
new65307,21429602690011548L,4,28
new5210,21393293422904732L,4,28
new61580,20303702783168924L,5,28
new32033,3395931690296668L,6,28
new60540,11278106119677852L,34,28
new8457,2292096874857340L,39,28
new52107,9099173128046172L,62,28
new27540,1236564638450556L,53,28
new32107,3395931690558812L,5,28
new33642,11260537825150876L,45,28
new55730,12403937307043740L,0,28
new57771,12404212218504540L,0,28
new81310,18025533851086748L,45,28
new38229,12386369012516764L,0,28
new82633,18025559620890524L,-1,28
new30669,2270924044806044L,41,28
new31812,3469664399417948L,41,28
new58171,12403113765168476L,0,28
new73791,19143735783478172L,15,28
new38379,11299295592735612L,57,28
new58273,12403113765430620L,0,28
new63382,20269635690320796L,14,28
new19187,3469655809745500L,50,28
new27538,1236564638450524L,54,28
new42158,11299295592997756L,56,28
new5106,2262135200313244L,33,28
new33566,11260812703057788L,45,28
new53651,10145909004077468L,68,28
new86409,21683633162373500L,46,28
new18054,3468512795051932L,-1,28
new15017,3669715184593820L,6,28
